Date,Poor,Need improvement,Good
2021-01-18,0,137,9
2021-01-19,0,137,9
2021-01-20,0,136,9
2021-01-21,0,136,0
2021-01-22,0,136,0
2021-01-23,0,136,9
2021-01-24,0,136,9
2021-01-25,0,136,9
2021-01-26,0,136,0
2021-01-27,0,136,9
2021-01-28,0,136,9
2021-01-29,0,138,27
2021-01-30,0,138,27
2021-01-31,0,138,27
2021-02-01,0,0,165
2021-02-02,0,139,27
2021-02-03,0,0,148
2021-02-04,0,0,148
2021-02-05,18,0,150
2021-02-06,0,140,9
2021-02-07,0,142,9
2021-02-08,144,0,9
2021-02-09,0,0,153
2021-02-10,0,149,0
2021-02-11,0,149,0
2021-02-12,0,149,0
2021-02-13,0,151,9
2021-02-14,0,151,0
2021-02-15,0,152,0
2021-02-16,0,151,0
2021-02-17,0,151,10
2021-02-18,0,150,0
2021-02-19,0,151,0
2021-02-20,0,0,162
2021-02-21,0,151,0
2021-02-22,0,151,0
2021-02-23,0,151,11
2021-02-24,0,151,11
2021-02-25,0,147,0
2021-02-26,0,148,0
2021-02-27,0,146,0
2021-02-28,0,144,0
2021-03-01,0,0,145
2021-03-02,0,146,0
2021-03-03,0,148,0
2021-03-04,0,150,0
2021-03-05,0,0,158
2021-03-06,0,0,158
2021-03-07,0,0,175
2021-03-08,0,0,177
2021-03-09,0,148,0
2021-03-10,0,148,0
2021-03-11,0,144,0
2021-03-12,0,143,0
2021-03-13,0,0,148
2021-03-14,0,148,0
2021-03-15,0,0,149
2021-03-16,0,0,149
2021-03-17,0,0,150
2021-03-18,0,0,150
2021-03-19,0,0,150
2021-03-20,0,0,150
2021-03-21,0,0,168
2021-03-22,0,0,168
2021-03-23,0,0,149
2021-03-24,0,0,149
2021-03-25,0,151,0
2021-03-26,0,158,0
2021-03-27,0,152,0
2021-03-28,0,148,0
2021-03-29,146,0,0
2021-03-30,142,0,0
2021-03-31,143,0,0
2021-04-01,134,0,0
2021-04-02,134,0,0
2021-04-03,127,0,0
2021-04-04,0,0,133
2021-04-05,0,0,135
2021-04-06,0,136,0
2021-04-07,0,135,0
2021-04-08,0,134,0
2021-04-09,0,131,0
2021-04-10,0,132,0
2021-04-11,0,133,0
2021-04-12,0,135,0
2021-04-13,0,137,0
2021-04-14,0,141,0
2021-04-15,0,139,0
2021-04-16,0,138,0